x	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	Ruth	1 Samuel	2 Samuel	1 Kings	2 Kings	1 Chronicles	2 Chronicles	Ezra	Nehemiah	Esther	Job	Psalm	Proverbs	Ecclesiastes	Song of Solomon	Isaiah	Jeremiah	Lamentations	Ezekiel	Daniel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Matthew	Mark	Luke	John	Acts	Romans	1 Corinthians	2 Corinthians	Galatians	Ephesians	Philippians	Colossians	1 Thessalonians	2 Thessalonians	1 Timothy	2 Timothy	Titus	Philemon	Hebrews	James	1 Peter	2 Peter	1 John	2 John	3 John	Jude	Revelation
2 Chronicles	128	230	134	140	304	133	95	5	124	131	558	379	389	1254	76	109	16	77	544	144	39	7	343	354	26	129	93	55	18	22	4	5	39	5	9	5	6	41	14	142	27	103	65	122	53	42	37	17	22	17	12	12	7	13	16	2		51	39	20	6	16	3	1	2	96
Ezra	16	42	50	57	61	33	10		13	10	37	46	100	104	388	228	32	15	114	34	5		72	73	11	28	60	3	3		1	4	3	1	2	3	33	35	5	31	7	15	19	38	21	12	19	5	3	7	1	3	1	4	6	3		8	5	3	2	4	1	3		17
Nehemiah	69	87	59	66	144	66	36	2	33	28	46	48	112	136	224	582	16	25	279	49	19	3	117	129	19	46	38	7	4	8	1	2	14	1	3	5	10	17	20	67	9	41	29	79	29	27	29	10	14	13	4	6	2	14	13	6	1	29	10	12	5	6				21
Esther	47	19	2	3	24	9	9		36	24	28	13	7	11	13	16	335	31	89	45	15	5	49	25		11	76	4	3	7	1	4	1	1	1	2		10	2	33	6	22	8	28	14	6	2	3	11	7	2	3	2	4	1	1		5	3	5	1	1				16
Job	298	139	36	60	184	25	41	10	101	77	90	59	24	54	14	27	26	2855	1527	434	137	8	620	300	92	146	108	79	18	64	6	25	43	11	38	17	7	47	42	224	32	178	93	123	175	102	77	22	55	13	15	30	12	33	17	10	1	88	123	52	39	35			22	134
Psalm	490	653	109	279	748	195	178	16	578	437	219	146	276	267	54	179	57	986	11648	827	168	81	2473	971	219	426	301	169	65	83	13	70	205	58	124	63	20	181	113	838	130	675	571	540	541	216	227	84	286	139	78	70	65	60	99	68	2	459	198	270	89	140	4	8	36	875
Proverbs	201	111	43	48	161	24	57	8	204	142	169	54	37	72	14	51	53	343	1100	2803	216	40	400	252	6	98	90	68	9	58	5	6	52	6	27	12	12	38	29	364	61	269	206	156	169	114	105	31	97	37	32	44	19	70	58	30	7	107	152	90	61	65	5	8	21	146
Ecclesiastes	130	32	4	16	52	14	15	2	50	49	81	30	22	50	6	20	14	158	288	226	540	9	139	68	11	13	41	12	3	14		7	12	1	12	2	9	11	21	91	17	100	40	65	48	29	19	8	20	12	10	10	3	20	11	7		30	39	18	19	10	2		2	26
Song of Solomon	32	27	3	12	13	3	6	3	7	12	20	1	2	9	2	2	1	7	175	42	8	401	151	36	4	27	5	21	1		1		6			6	3	12	5	66	10	53	74	34	28	18	34	16	48	28	20	8	2	7	2			40	6	21	8	5			2	71
Isaiah	274	327	105	135	451	104	98	11	151	93	170	330	59	273	60	99	25	356	2074	273	51	50	5600	1532	155	782	280	356	113	194	19	30	229	83	109	125	29	350	133	597	106	437	392	351	421	140	143	67	175	72	40	53	63	40	25	46	2	274	88	161	70	65	2		25	751
Jeremiah	250	237	144	148	615	114	105	5	180	99	259	405	75	341	69	128	28	232	1270	298	49	24	1934	5420	307	1280	250	350	86	268	36	36	233	81	87	151	16	305	65	322	58	258	157	295	186	78	75	40	59	18	12	34	26	29	46	11	2	153	68	65	45	24	1		12	376
Lamentations	17	16	17	6	69	4	9	2	27	14	13	31	4	24	5	21	1	83	331	12	4	1	186	380	252	143	20	34	7	21	4	6	25	6	11	15	1	14	8	27	5	37	2	8	11	5	5	1	3			3	2	4	2	1		12	4	4	2				2	27
Ezekiel	241	268	327	231	355	78	55	3	87	59	176	236	64	226	32	60	6	130	687	170	20	31	1098	1500	145	3969	188	206	65	162	25	12	155	71	46	96	21	194	72	233	43	191	146	171	143	86	55	32	61	18	29	24	15	40	20	22		145	53	63	45	38	2		16	401
Daniel	105	62	20	33	59	20	23	1	50	20	54	39	19	54	55	38	51	87	396	88	20	5	307	195	28	146	1159	25	9	23	3	6	21	10	23	4	3	62	11	141	46	131	81	183	46	36	30	9	29	14	10	16	19	19	20	3		53	22	33	14	15	1		13	305
Hosea	47	34	31	24	93	11	39		51	17	76	134	3	33	6	17		52	196	69	7	11	377	409	25	206	28	523	21	112	1	5	81	10	13	26	7	67	26	49	7	55	51	40	55	18	20	8	14	11	1	6	5	5	6	6		19	18	13	9	12			2	45
Joel	13	21	9	10	35	5	9		9	7	11	12	1	26	1	8	1	12	100	9		6	134	79	8	65	11	23	92	40	8	8	16	9	4	17	6	36	10	19	5	16	4	16	15	6	5	3	2	6	1	1	5	3	1			4	10	2	2	1			1	42
Amos	33	45	32	17	73	8	20	1	24	14	54	86	5	42		13	7	36	116	21	14		228	245	17	137	15	78	43	238	6	7	50	16	12	21	6	37	14	42	7	24	14	42	20	13	2		6	2	1	6	1	1	3			4	14	5	6			1	3	30
Obadiah	4			3	2	7	4		2	3	1	5	2	1	3			6	32	5			43	50	6	26	6	2	12	15	4		10	3	3	2		10	4	6	1	5	1			3								1					3	1	1				1	9
Jonah	24	9	1	7	5	9	5		13	9	12	9	1	6	6	3	4	23	102	4	4	1	32	28	5	14	10	5	9	8		39	6	2	5	2				25	2	18	5	25	3	4	2		3	3			1		1			5	7							8
Micah	24	25	16	22	53	19	6	2	30	18	20	36	5	31	3	10	3	24	207	35	2		309	204	26	98	30	67	15	57	6	3	73	6	15	17	4	56	11	44	10	41	34	36	43	11	7	1	8	1	5	2	4	2	5	3	1	17	8	4	8	5			3	58
Nahum	9	9	4	2	5	4	2		7	5	4	13	3	14	1	2		12	65	4			125	68	10	41	12	4	10	7	1	3	9	37	6	10		7	4	8		5	2	2	5	2	1	1	1			1			1			2	1		4	1			1	25
Habakkuk	18	33		13	28	18	6		3	7	7	12		5	1	4	1	15	168	16	4		120	120	9	22	30	8	2	7	2	4	14	10	26	3	1	14	2	11	2	11	5	15	7	4	4	4	2	4	1	2	4	4				11	7	5	2	1			1	33
Zephaniah	14	5	3	3	17	2	1		8	3	6	17		13	1	7	1	11	87	9	1	1	193	143	16	73	5	23	26	25	3	1	34	10	9	42	3	40	9	19	1	13	11	7	20	5	3	1	3	3	3	3		1	1			8	5	8	12	4				26
Haggai	8	16	9	5	11	4	3		2	5	9	3	8	11	27	10		5	28	10	3	2	38	18	4	14	10	5	6	6		1	6		1	1	57	24	11	14	2	13	9	6	3	5	4	2	2	3	3	2		1	5	2		5	1	1	1				1	10
Zechariah	46	49	36	27	78	20	13	4	26	13	33	28	15	51	32	26	3	34	237	36	10	9	486	359	23	214	81	64	43	59	14	1	86	8	18	37	40	373	30	131	25	89	96	80	57	32	24	10	35	9	15	12	5	9	8	5		54	25	26	8	12			4	177
Malachi	35	18	24	15	51	11	2	1	17	5	8	3	6	15	8	21	4	28	95	24	7	2	130	77	5	56	21	19	14	12	3		11	4	3	8	12	28	76	62	17	65	41	28	32	15	6	6	7	5		7	6	5	4	5		21	10	13	4	2			1	36
Matthew	201	117	75	70	139	35	39	16	108	56	139	89	47	82	23	31	14	139	671	228	42	24	581	236	25	162	137	45	13	27	5	17	41	3	9	14	17	108	70	2494	933	1604	1097	814	337	277	187	115	165	81	112	81	57	109	90	50	10	292	143	163	92	140	7	11	38	439
Mark	94	49	27	30	71	11	11	3	32	21	57	39	12	33	3	13	11	59	278	70	20	11	242	95	18	60	62	24	8	7	1	7	15	1	2	4	1	39	25	1104	733	861	654	410	127	124	62	48	46	47	40	21	23	34	44	25	1	149	64	59	26	55		2	16	127
Luke	247	123	53	64	120	31	42	14	103	57	84	78	41	66	12	22	16	159	808	226	51	29	643	247	29	161	122	58	13	31	3	19	49	7	13	17	7	102	57	1582	731	1804	941	829	286	198	145	84	149	104	73	72	40	87	70	36	7	254	149	160	90	95	7	10	21	323
John	147	76	30	46	91	18	17	4	48	19	49	38	15	33	9	25	2	67	509	143	31	38	509	135	15	93	48	44	2	15		1	27		5	12	2	64	30	908	346	774	3627	640	385	240	202	133	190	106	113	62	51	69	52	38	1	339	71	177	53	382	18	5	26	332
Acts	248	186	42	83	138	55	26	1	122	56	98	66	59	72	37	47	20	100	598	149	31	12	513	236	20	136	141	51	24	40	2	26	55		16	14	4	80	27	699	260	688	669	4187	423	389	282	222	171	107	107	136	45	109	168	60	20	253	94	155	72	62	15	21	29	245
Romans	133	58	21	27	98	16	4	3	34	18	25	14	10	21	8	14	2	89	447	129	31	4	312	161	14	90	43	29	5	13	1	8	26	6	8	12	1	31	13	292	46	223	341	390	1287	375	290	300	294	174	169	124	67	112	106	87	20	247	117	242	74	131	11	9	40	203
1 Corinthians	75	54	23	57	66	10	11	2	27	23	11	8	16	9	6	15	2	53	206	92	37	12	147	67	5	35	36	14	4	9		7	3	1	2	6	4	20	12	248	57	175	237	365	401	1037	347	160	201	106	120	127	51	96	82	41	16	146	68	137	50	80	7	10	23	142
2 Corinthians	42	51	6	14	34	9	10	1	27	13	15	19	15	14	13	15		43	156	68	7	5	131	61	5	41	13	7	4			3	3	1	2	3	5	11	5	127	27	83	155	254	298	357	787	133	132	135	87	107	40	62	59	26	18	127	40	92	31	67	9	7	18	103
Galatians	54	10	10	10	28	7	1	2	7	10	7	5	5	4		4	2	21	73	18	9	1	65	27	2	14	5	11	2	1	1	3	3		2	1		5	3	100	19	68	104	210	321	154	127	300	84	47	46	35	18	34	20	23	5	115	32	60	24	60	5	2	16	71
Ephesians	48	22	12	10	38	8	3	2	15	8	11	3	15	7	2	10	7	26	159	86	11	6	144	62	2	26	26	13	1	5	1	2	8		1	3	1	22	8	125	25	91	173	163	237	162	130	105	349	69	195	58	34	75	53	55	12	122	37	116	34	69	2	1	21	97
Philippians	24	5		3	12	2		1	10	7	4	5	5	8	4	6	1	18	113	37	2	3	78	21		5	8	5	1	1		1	6		3	2		4	6	91	11	81	111	129	181	116	142	62	95	162	58	75	30	43	43	23	17	80	28	75	40	31	5	7	16	64
Colossians	13	3	13	7	20			2	5	1	3	2	7	5		8	3	13	88	33	9	3	59	14	1	19	7	3		2		1	7		1	2		6	6	81	25	58	106	94	151	117	88	59	197	57	157	62	21	40	36	27	15	101	33	60	25	57	8	1	13	67
1 Thessalonians	13	9	11	9	19	1	2		15	5	11	4	4	2	1	5	3	16	56	47	3	3	50	24	3	11	6	4	2	2		1	4	1	1	3		9	6	75	17	48	55	170	127	135	108	51	70	54	47	124	61	48	38	25	10	68	12	68	33	31	1	3	15	60
2 Thessalonians	9	5	1	3	15	1	1	1	4	1	2		2	1	1			5	51	17	1		49	11	1	8	17	3					2			3	1	3	2	43	10	24	44	26	67	39	38	10	31	19	14	70	45	11	24	12	3	33	9	19	17	14		2	7	65
1 Timothy	48	12	14	7	51	7	4	3	15	6	12	15	7	12	2	6	2	13	111	62	17	2	74	39	3	24	15	9	1	3		1	8	1	3			5	7	104	17	89	74	148	119	94	57	54	61	41	40	33	21	225	114	114	6	77	28	75	44	32	9	6	20	95
2 Timothy	8	12		6	8	4			6	5	6		4	7	5	7		5	75	29	2		50	34	1	11	18	4		1		1	4	3	1		2	5	3	69	15	72	65	161	104	69	55	19	49	34	31	33	21	117	117	49	5	61	19	50	49	23	3	2	20	78
Titus	8	2	5	3	4				10	2	2	1	2			1		12	28	21	6		28	3		11	3	1	2	1	1		3		1		1	3	2	29	15	30	31	47	75	32	31	28	40	15	24	13	11	89	45	55	2	22	9	42	26	20	3	2	9	18
Philemon	2				1					4			1					1	5	1			3	1																9	2	4		11	12	12	25	7	14	17	14	10	3	4	7	3	12	8	5	9	1	5	2	4		
Hebrews	170	147	105	109	102	37	17	3	41	30	40	20	26	30	3	15	2	49	359	76	13	8	256	111	4	61	53	17	5	6	1		17	6	9	3	4	28	13	255	77	186	226	236	256	140	106	94	125	76	77	60	38	62	53	31	7	908	54	158	59	74	7	2	25	166
James	50	29	13	12	25	11	7		12	14	19	14	10	22	1	9	3	61	171	96	19	1	109	45	5	20	17	10	5	9	1	9	11		7	4		11	9	141	34	103	55	93	113	71	33	53	35	22	26	21	7	33	17	21	1	58	146	60	25	39		3	15	53
1 Peter	27	17	14	4	17		1		11	2	5	5	6	13		1	5	24	141	55	5	7	113	38	1	31	35	9	2	8		1	7		1	1	2	26	9	147	33	100	103	139	192	82	73	41	108	47	54	39	21	48	34	49	4	117	61	196	36	45	4	5	15	60
2 Peter	18	13		12	15	4		1	2	3	13	6	2	1	1	2		9	56	21	7	2	50	27	1	16	8	7	4	3			9	1	3	3	1	3	8	65	15	42	49	34	52	36	35	14	26	24	18	21	13	30	21	19	1	38	16	43	90	24	2	1	42	49
1 John	9	8	6	9	15	1			5	2	3		1	4		2	1	18	106	33	4	1	38	26	1	10	6	5	1	2			5		1			6	4	77	24	48	346	56	87	49	48	31	48	14	26	18	5	33	20	23		73	43	65	27	386	20	8	13	74
2 John	1			1															2								1	1										1	1	3	3	3	18	1	4	7	1	11	5	3	3	4	3	5	4	2	1	9		7	3	25	7	2		4
3 John	2	1									2	3							5	4			4				1					1								7	3	6	9	10	5	9	11	4	3	7	6	11	2	2	2	2	5	1	1	6	2	3	4	6		2
Jude	8	3	4	10	8	1			1	1			3	1		1		5	30	5	3		18	6	3	9	7	4		2			1					5	2	21	5	15	23	24	31	21	4	10	16	5	5	10	4	13	16	9		14	7	17	35	10			12	24
Revelation	71	107	19	40	61	13	16	1	24	9	47	29	15	26	10	16	5	60	429	58	10	16	487	195	16	217	223	33	33	24	2	9	20	11	20	16	2	88	22	265	48	177	212	126	124	101	78	26	65	34	30	30	58	36	40	8		124	27	57	42	53	2	1	26	2205
